country,discipline,Count
United States,Equestrian,1
United States,Diving,1
United States,Cycling Mountain Bike,1
United States,Cycling BMX Freestyle,1
United States of America,Taekwondo,1
AIN,Rowing,1
Venezuela,Cycling BMX Freestyle,1
Venezuela,Athletics,1
AIN,Tennis,1
AIN,Weightlifting,1
Algeria,Artistic Gymnastics,1
United States of America,Cycling BMX Freestyle,1
United States of America,Canoe Sprint,1
Australia,Skeleton,1
Australia,Shooting,1
Australia,Freestyle Skiing,1
Australia,Cycling BMX Racing,1
Austria,Rowing,1
Austria,Nordic Combined,1
Austria,Karate,1
Norway,Weightlifting,1
Norway,Triathlon,1
Norway,Snowboard,1
Norway,Ski Jumping,1
Norway,Rowing,1
Norway,Freestyle Skiing,1
New Zealand,Freestyle Skiing,1
New Zealand,Canoe Slalom,1
New Zealand,Boxing,1
Netherlands,Water Polo,1
Netherlands,Skeleton,1
Netherlands,Judo,1
North Macedonia,Taekwondo,1
Nigeria,Wrestling,1
Nigeria,Athletics,1
New Zealand,Trampoline Gymnastics,1
